id,status,sector,sector_merged,sector_grouped,activity,loan_amount,funded_amount,lender_count,borrower_count,use,description_length
3224305,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,0,0,1,to buy mulches and fertilizers to improve the soil for healthy coffee growing.,13
3224321,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,0,0,1,to buy mulches and manure to improve the soil for healthy coffee yields to sell.,15
3224266,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,1350,0,0,1,to buy more cows for fattening and sell to generate revenue.,11
3224162,fundraising,Wholesale,Other,Personal,Goods Distribution,2700,100,4,1,to buy an assortment of merchandise for selling to generate revenue.,11
3224152,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,0,0,1,to buy fertilizers to improve the soil for growing healthy crops to sell to generate revenue.,16
3224145,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1350,0,0,1,to buy manure and mulches to improve soils for healthy crop growing and selling.,14
3222919,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy farmland to have better harvests to sell.,9
3222926,fundraising,Agriculture,Agriculture,Agriculture,Farming,950,0,0,1,to buy mulches and manure to improve soils for healthy coffee growing.,12
3223489,fundraising,Food,Food,Personal,Restaurant,550,25,1,1,"to pay for food supplies, saucepans, cutlery and labor.",9
3222885,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,0,0,1,to buy more land and seedlings to improve her coffee production.,11
3222909,fundraising,Agriculture,Agriculture,Agriculture,Farming,1075,0,0,1,to buy fertilizers to improve soils for growing healthy coffee to sell.,12
3222848,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to purchase fertilizers to improve soil for healthy harvests to sell.,11
3222846,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2150,0,0,1,to purchase fertilizers to improve soil for healthy crop growth and harvests.,12
3222831,fundraising,Construction,Construction,Personal,Construction Supplies,2700,0,0,1,to cover renovation expenses.,4
3222821,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy organic manure and mulches to improve soils for healthy crop growing.,13
3222810,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy a coffee milling machine to process coffee for sale to generate revenue.,14
3222796,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,275,50,1,1,to buy manure and mulches to improve soils for healthy coffee growing.,12
3222773,fundraising,Food,Food,Personal,Fruits & Vegetables,550,0,0,1,to buy more fresh foods to sell and generate revenue.,10
3222771,fundraising,Agriculture,Agriculture,Agriculture,Farming,275,50,1,1,to buy more produce to sell and generate revenue.,9
3222772,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1350,0,0,1,to buy fertilizers and seedlings to grow healthy coffee for sale to generate revenue.,14
3222734,fundraising,Food,Food,Personal,Food Production/Sales,825,0,0,1,to buy more produce for resale.,6
3222736,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,275,75,2,1,to buy coffee seedlings for her coffee farm.,8
3222721,funded,Agriculture,Agriculture,Agriculture,Farming,825,825,4,1,to buy fertilizers to improve her soil for healthy coffee growing.,11
3222728,fundraising,Food,Food,Personal,Food Production/Sales,1900,0,0,1,to buy more produce to sell to generate revenue.,9
3222694,fundraising,Food,Food,Personal,Food Production/Sales,275,100,2,1,to buy more fresh foods to sell and generate revenue.,10
3222700,fundraising,Housing,Housing,Personal,Property,425,0,0,1,to buy construction materials to renovate her rentals.,8
3222647,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,0,0,1,to buy fertilizers to improve soils for healthy coffee growing to sell.,12
3222670,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,0,0,1,to buy fertilizers to improve his soil for farming and have better harvests to sell.,15
3222656,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2700,0,0,1,to buy fertilizers and pesticides to grow healthy coffee to sell to generate revenue.,14
3222237,fundraising,Retail,Retail,Business,General Store,425,50,1,1,to buy an assortment of merchandise for sale to generate revenue.,11
3222241,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2700,0,0,1,to buy fertilizers and mulch to grow healthy coffee to sell.,11
3222232,fundraising,Agriculture,Agriculture,Agriculture,Farming,425,25,1,1,to buy manure to improve soil for healthy crop growth.,10
3222220,funded,Food,Food,Personal,Food Stall,275,275,6,1,to buy more fresh foods to sell and generate revenue.,10
3222201,fundraising,Agriculture,Agriculture,Agriculture,Livestock,275,250,9,1,to buy more goats to sell and generate revenue.,9
3222690,funded,Water,Other,Personal,Community Water Distribution,225,225,4,1,to buy more water tanks to reserve water to sell to generate revenue.,13
3222060,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy fertilizers and better seedlings to grow healthy coffee for selling.,12
3222089,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy medicated coffee seedlings and fertilizers to grow healthy coffee to sell to generate revenue.,16
3222187,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1350,0,0,1,to purchase fertilizers to improve soil for healthy crop growth to harvest and sell.,14
3222032,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to purchase organic manure to improve soil for farming and yield better harvests for sale.,15
3222057,fundraising,Agriculture,Agriculture,Agriculture,Farming,1075,0,0,1,to buy fertilizers to improve soils for healthy coffee growing for selling to generate revenue.,15
3221506,fundraising,Agriculture,Agriculture,Agriculture,Farming,4025,0,0,1,"to buy fertilizers, land and seedlings to plant more coffee to sell to generate revenue.",15
3221503,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,0,0,1,to buy mulches and manure to improve soil for healthy coffee growing.,12
3221483,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,0,0,1,to buy pesticides to grow healthy coffee for sell to generate revenue.,12
3221475,fundraising,Agriculture,Agriculture,Agriculture,Farming,425,75,2,1,to buy manure and mulches to apply to her coffee plantation.,11
3221461,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2150,0,0,1,to buy manure and mulches to improve soils for healthy coffee growing and sell.,14
3221452,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,1625,0,0,1,to buy more cows for fattening and sell to generate revenue.,11
3221426,fundraising,Agriculture,Agriculture,Agriculture,Farming,2675,0,0,1,to buy manure and mulches to improve soil for healthy coffee growing to sell.,14
3221373,fundraising,Retail,Retail,Business,General Store,825,0,0,1,"to buy household foodstuffs, plastics, and soft drinks to sell and generate revenue.",13
3221441,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,825,0,0,1,to buy more cows for fattening and sell to generate revenue.,11
3221315,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,1350,0,0,1,to buy more cows for fattening and selling to generate revenue.,11
3221364,fundraising,Agriculture,Agriculture,Agriculture,Agriculture,825,0,0,1,to buy harvests to sell produce and generate revenue.,9
3221302,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy mulches and manure to improve soils for healthy coffee growing.,12
3221308,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy NPK fertilizers to improve his soil for growing healthy coffee to sell.,14
3221286,funded,Food,Food,Personal,Food,275,275,7,1,to buy more produce to sell to generate revenue.,9
3220523,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,2675,0,0,1,to buy more cows for fattening and sale.,8
3220646,fundraising,Agriculture,Agriculture,Agriculture,Agriculture,275,100,4,1,to buy more agricultural harvests for sale to generate revenue.,10
3220515,fundraising,Agriculture,Agriculture,Agriculture,Cattle,550,75,3,1,to buy more cows for fattening and sale to generate revenue.,11
3219751,fundraising,Retail,Retail,Business,Retail,1075,0,0,1,to pay for purchase of inventory to sell to generate revenue.,11
3218888,fundraising,Agriculture,Agriculture,Agriculture,Cattle,2675,25,1,1,to buy more cows for fattening and to sell to generate revenue.,12
3218890,fundraising,Agriculture,Agriculture,Agriculture,Cattle,2675,25,1,1,to buy more cows for fattening and sell to generate revenue.,11
3218874,fundraising,Retail,Retail,Business,Retail,825,50,2,1,to restock assortment of merchandise for sell to generate revenue.,10
3218832,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,2675,0,0,1,to buy more cows for fattening and to stock his butcher business.,12
3218864,fundraising,Agriculture,Agriculture,Agriculture,Agriculture,1350,25,1,1,to buy more maize and beans to make produce to sell and generate revenue.,14
3218779,fundraising,Retail,Retail,Business,Retail,550,75,1,1,to restock an assortment of merchandise to sell to generate revenue.,11
3218785,fundraising,Services,Services,Business,Services,275,75,2,1,to repair and service machine to resume work and generate revenue.,11
3218741,funded,Agriculture,Agriculture,Agriculture,Farming,275,275,7,1,to buy pesticides and seeds to plant and raise better harvests for sale.,13
3218743,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,50,2,1,to buy maize harvests for milling and sell to generate revenue.,11
3218748,funded,Retail,Retail,Business,General Store,225,225,4,1,to restock an assortment of merchandise to sell to generate revenue.,11
3218730,fundraising,Agriculture,Agriculture,Agriculture,Cattle,2150,50,2,1,to buy more cows to fatten and sell to generate revenue.,11
3218734,fundraising,Services,Services,Business,Services,1350,0,0,1,to buy another milling machine to serve customers better and generate revenue.,12
3218717,fundraising,Agriculture,Agriculture,Agriculture,Dairy,4025,0,0,1,to buy more dairy cows for milk production and sell to generate revenue.,13
3218722,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,825,0,0,1,to buy cows and goats for fatttening and selling to generate revenue.,12
3218707,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,175,5,1,to buy manure to improve soils for healthy crop growing.,10
3218716,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy manure and mulches to improve the soil for healthy banana growing to sell to generate revenue.,18
3218710,fundraising,Agriculture,Agriculture,Agriculture,Cattle,4025,0,0,1,to buy more cows for fattening and selling to generate revenue.,11
3218111,fundraising,Clothing,Clothing,Personal,Clothing Sales,825,0,0,1,to buy more bales of clothes to sell and generate revenue.,11
3218102,fundraising,Agriculture,Agriculture,Agriculture,Cattle,1350,25,1,1,to buy cows for fattening.,5
3218024,fundraising,Agriculture,Agriculture,Agriculture,Farming,425,225,9,1,to buy organic manure to improve soils for healthy crop growing to sell to generate revenue.,16
3218051,fundraising,Transportation,Other,Personal,Motorcycle Transport,550,0,0,1,to pay for repair costs and maintenance to resume work to provide better cash inflows.,15
3218021,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,1350,25,1,1,to buy more cows to fatten and sell to generate revenue.,11
3217987,fundraising,Agriculture,Agriculture,Agriculture,Farming,3225,0,0,1,to buy manure to improve soils for healthy crop growth.,10
3217995,fundraising,Retail,Retail,Business,Cloth & Dressmaking Supplies,425,50,2,1,to buy more African fabrics to sell and generate revenue.,10
3217973,fundraising,Retail,Retail,Business,Shoe Sales,550,0,0,1,to buy more shoes to sell to generate revenue.,9
3217923,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy mulches and manure to improve soils for healthy crop growth.,12
3217908,fundraising,Agriculture,Agriculture,Agriculture,Cattle,2150,0,0,1,to buy more cows for fattening and sell to generate revenue.,11
3217912,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,825,50,2,1,to buy organic manure to improve soils for healthy banana growing to sell.,13
3217916,fundraising,Housing,Housing,Personal,Property,1075,100,3,1,to pay rental renovation expenses to earn better from them.,10
3217498,fundraising,Retail,Retail,Business,General Store,400,50,1,1,to restock an assortment of merchandise to sell and generate revenue.,11
3217891,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,550,0,0,1,to buy manure and mulches to improve soils for healthy crop production.,12
3217472,fundraising,Health,Health,Personal,Pharmacy,550,100,4,1,to buy more drugs to sell and generate revenue.,9
3217487,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1125,125,4,1,to buy fertilizers and mulches to improve soils for healthy harvests.,11
3217416,fundraising,Retail,Retail,Business,General Store,1350,0,0,1,to restock an assortment of merchandise to sell to generate revenue.,11
3217437,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2125,0,0,1,to buy manure to improve soils for healthy harvests to sell to generate revenue.,14
3217409,fundraising,Food,Food,Personal,Pub,800,0,0,1,to increase stock for his bar and improve services at his guest house.,13
3217400,fundraising,Retail,Retail,Business,General Store,1350,0,0,1,to restock assortment of merchandise for sell to generate revenue.,10
3217377,fundraising,Retail,Retail,Business,Retail,3200,0,0,1,to buy more mattresses to sell and generate revenue at his shop.,12
3217349,fundraising,Retail,Retail,Business,Electronics Sales,2675,0,0,1,to buy more electronics to sell and generate revenue and support his family.,13
3217350,fundraising,Retail,Retail,Business,Retail,1200,0,0,1,to buy an assortment of merchandise to sell to generate revenue.,11
3217354,fundraising,Retail,Retail,Business,Retail,1350,0,0,1,to buy household items to sell through her retail shop and generate revenue for financial growth.,16
3217338,fundraising,Retail,Retail,Business,Retail,2675,0,0,1,to buy an assortment of merchandise to sell to generate revenue.,11
3217347,fundraising,Food,Food,Personal,Cereals,1350,0,0,1,to buy maize for milling to generate revenue.,8
3217314,fundraising,Agriculture,Agriculture,Agriculture,Cattle,4000,0,0,1,to buy cows for fattening and sell to generate revenue.,10
3217328,fundraising,Housing,Housing,Personal,Personal Housing Expenses,3200,0,0,1,to fund house construction to give her family a decent home.,11
3217252,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy seedlings and fertilizer to grow healthy coffee to sell to generate revenue.,14
3217294,fundraising,Agriculture,Agriculture,Agriculture,Cattle,1200,50,2,1,to buy more cows for fattening and sell to generate revenue.,11
3217277,fundraising,Agriculture,Agriculture,Agriculture,Dairy,675,0,0,1,to buy dairy cows for milk production and selling to generate revenue.,12
3217240,fundraising,Agriculture,Agriculture,Agriculture,Farming,2675,0,0,1,to buy mulch and manure to improve the soil for healthy coffee growing.,13
3217244,fundraising,Agriculture,Agriculture,Agriculture,Farming,1875,0,0,1,to buy manure and mulch to improve the soil for healthy coffee growing for selling.,15
3215886,fundraising,Agriculture,Agriculture,Agriculture,Farming,400,175,5,1,to buy manure and mulch to improve the soil for farming and sell better harvests.,15
3215984,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy manure and banana suckers to grow healthy bananas to sell to generate revenue.,15
3217235,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1350,0,0,1,to buy manure and mulch to improve the soil for healthy coffee growing.,13
3215794,fundraising,Agriculture,Agriculture,Agriculture,Farming,1875,0,0,1,to buy mulch and manure to improve the soil for farming and ultimately improve harvests.,15
3215817,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,75,2,1,to buy manure and mulches to improve soils for farming and better harvests to sell.,15
3215786,fundraising,Agriculture,Agriculture,Agriculture,Farming,1075,0,0,1,to buy farm inputs and seedlings to grow healthy coffee to sell to generate revenue.,15
3215746,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1350,0,0,1,to buy manure and mulches to improve his soil for farming.,11
3214893,fundraising,Agriculture,Agriculture,Agriculture,Farming,1100,0,0,1,"to purchase essential farm inputs, including quality seeds, fertilizers, and manure.",11
3214890,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,0,0,1,"to purchase essential farm inputs, including quality seeds, fertilizers, and manure.",11
3215783,fundraising,Food,Food,Personal,Cereals,800,0,0,1,to buy more sacks of rice to sell.,8
3214866,fundraising,Retail,Retail,Business,Shoe Sales,3250,0,0,1,"to restock her business with a wider variety of men's, women's and children's shoes.",14
3214881,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to purchase quality manure and mulches for her coffee and maize gardens.,12
3214863,fundraising,Clothing,Clothing,Personal,Clothing Sales,1225,0,0,1,"to expand her boutique by purchasing additional stock, including dresses and shirts.",12
3214814,fundraising,Retail,Retail,Business,Spare Parts,550,0,0,1,"to restock his business with fast-moving spare parts, including brake pads and oil filters.",14
3214806,fundraising,Retail,Retail,Business,Electronics Sales,4050,25,1,1,"to restock his inventory with a wider range of phones, computers, and accessories.",13
3214796,fundraising,Retail,Retail,Business,General Store,825,0,0,1,to buy assorted merchandise and clothing.,6
3214133,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,"to purchase mulch and manure, which will improve soil fertility.",10
3214114,fundraising,Agriculture,Agriculture,Agriculture,Farming,675,25,1,1,to hire additional land and expand his maize production.,9
3214123,fundraising,Agriculture,Agriculture,Agriculture,Farming,3500,25,1,1,to hire additional land and expand his sugarcane plantation.,9
3214005,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,"to pay for pesticides, fertilizers, manure, and the work of laborers.",11
3214096,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,25,1,1,to purchase mulch and organic manure to improve soil fertility.,10
3213974,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,25,1,1,to purchase more maize for resale.,6
3213979,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,4025,0,0,1,to purchase additional produce stock for his business.,8
3213947,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,0,0,1,"to purchase pesticides and fertilizers, carry out weeding, and hire laborers.",11
3213957,fundraising,Agriculture,Agriculture,Agriculture,Farming,4025,0,0,1,"to purchase pesticides, fertilizers, mulch, and manure.",7
3213940,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,100,2,1,to support weeding activities on a sugarcane plantation.,8
3213470,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,25,1,1,to clear additional land and hire labor for harvesting.,9
3213465,fundraising,Housing,Housing,Personal,Personal Housing Expenses,1100,0,0,1,to renovate and expand her lodge business.,7
3213458,fundraising,Agriculture,Agriculture,Agriculture,Farming,4050,25,1,1,to purchase quality fertilizers and manure for improved yields.,9
3213463,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to expand his sugarcane farming.,5
3213440,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,175,5,1,to purchase fertilizers and manure.,5
3213441,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to purchase quality fertilizers and manure for improved yields.,9
3213436,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,25,1,1,to purchase quality fertilizers and manure to improve soil fertility.,10
3213428,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,25,1,1,to purchase quality fertilizers and manure to improve soil fertility.,10
3213431,fundraising,Agriculture,Agriculture,Agriculture,Farming,1100,0,0,1,to purchase quality fertilizers and manure to improve soil fertility.,10
3213416,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,50,2,1,to purchase manure and mulches to improve soil fertility and increase her crop yields.,14
3213420,fundraising,Agriculture,Agriculture,Agriculture,Farming,1100,0,0,1,to purchase fertilizers and manure to improve soil fertility.,9
3213410,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,75,2,1,to buy manure and mulches for improved yields.,8
3213412,fundraising,Agriculture,Agriculture,Agriculture,Poultry,1625,25,1,1,to purchase quality poultry feeds and expand his flock with more birds.,12
3212610,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,0,0,1,to buy manure and mulches for improved yields.,8
3213349,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,0,0,1,to buy manure and mulches for improved yields.,8
3213419,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,25,1,1,to acquire additional farmland to expand his maize production.,9
3212587,fundraising,Agriculture,Agriculture,Agriculture,Farming,1625,0,0,1,to purchase manure and mulch for improved yields.,8
3212602,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy manure and mulches for improved yields.,8
3212573,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy manure and mulches for improved yields.,8
3212562,fundraising,Retail,Retail,Business,General Store,4050,0,0,1,to purchase a variety of merchandise for restocking his supermarkets.,10
3212552,fundraising,Clothing,Clothing,Personal,Clothing Sales,2700,0,0,1,to restock her business with a wider variety of bedding items.,11
3212541,fundraising,Services,Services,Business,Beauty Salon,550,150,3,1,to purchase synthetic hair and a hair dryer.,8
3212519,fundraising,Retail,Retail,Business,Hardware,2700,0,0,1,to purchase additional hardware inventory.,5
3211846,fundraising,Retail,Retail,Business,Bicycle Sales,4075,25,1,1,to purchase additional tricycles for resale.,6
3212506,fundraising,Housing,Housing,Personal,Personal Housing Expenses,550,0,0,1,to buy building materials to renovate her rentals.,8
3212496,funded,Education,Other,Personal,Primary/secondary school costs,1350,1350,20,1,to pay school fees for her 4 children.,8
3211832,fundraising,Agriculture,Agriculture,Agriculture,Farming,2725,0,0,1,"to purchase farm inputs, hire labor, and prepare her onion garden for the next planting season.",16
3211837,fundraising,Agriculture,Agriculture,Agriculture,Farming,550,0,0,1,to purchase mulch and manure to improve soil fertility.,9
3211804,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,0,0,1,to buy mulch and manure for improved yields.,8
3211816,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy mulch and manure for increased yields.,8
3211829,fundraising,Agriculture,Agriculture,Agriculture,Farming,1375,0,0,1,to buy mulches and manure for improved yields.,8
3211778,fundraising,Retail,Retail,Business,Electronics Sales,2450,0,0,1,to buy more electronics to stock his shop for increased profits.,11
3210841,fundraising,Agriculture,Agriculture,Agriculture,Cattle,4075,0,0,1,"to buy more cows to raise and sell, and to acquire veterinary medicines to treat sick cattle.",17
3211811,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,0,0,1,to buy fertilizers and manure for improved yields.,8
3215882,fundraising,Agriculture,Agriculture,Agriculture,Farming,400,25,1,1,to buy manure and mulch to improve the soil and sell healthy harvests.,13
3210840,fundraising,Agriculture,Agriculture,Agriculture,Farming,2725,0,0,1,to buy essential manure to improve soils for healthy harvests to sell.,12
3211771,fundraising,Food,Food,Personal,Fish Selling,825,0,0,1,"to purchase additional fish for resale, increasing sales and improving income.",11
3210823,fundraising,Health,Health,Personal,Pharmacy,1100,100,4,1,to buy more drugs to sell and generate revenue.,9
3210837,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,4075,0,0,1,to buy NPK fertilizers to improve soils for crop farming which will increase her harvests.,15
3210745,fundraising,Clothing,Clothing,Personal,Clothing Sales,675,0,0,1,to restock a variety of clothes to sell and generate a revenue.,12
3210820,fundraising,Clothing,Clothing,Personal,Clothing Sales,675,0,0,1,to buy more clothes to sell and generate revenue.,9
3210727,fundraising,Clothing,Clothing,Personal,Clothing Sales,550,0,0,1,to buy fashionable clothes to sell and generate revenue.,9
3210288,funded,Agriculture,Agriculture,Agriculture,Poultry,175,175,7,1,to buy chicken feeds and medicine.,6
3210279,fundraising,Clothing,Clothing,Personal,Clothing Sales,550,50,1,1,to buy more clothes for selling.,6
3210273,funded,Retail,Retail,Business,Retail,275,275,11,1,buy more snacks and soft drinks to sell.,8
3210239,fundraising,Agriculture,Agriculture,Agriculture,Farming,2175,0,0,1,buy land for farming.,4
3210263,funded,Food,Food,Personal,Fish Selling,550,550,11,1,buy more silver fish for selling.,6
3210260,funded,Food,Food,Personal,Food Market,275,275,7,1,buy sacks of cassava for selling.,6
3210268,funded,Food,Food,Personal,Food Market,275,275,7,1,buy more raw food for selling.,6
3210257,funded,Retail,Retail,Business,Cosmetics Sales,175,175,3,1,buy more cosmetics and beauty products for selling.,8
3210255,funded,Retail,Retail,Business,General Store,225,225,8,1,buy general merchandise for selling.,5
3210244,fundraising,Food,Food,Personal,Food Market,550,50,1,1,"to buy matooke, Irish potatoes, and cassava for selling.",9
3210251,funded,Retail,Retail,Business,Fuel/Firewood,225,225,8,1,buy more firewood for selling.,5
3210185,funded,Food,Food,Personal,Grocery Store,275,275,9,1,to buy more items for selling.,6
3210195,fundraising,Agriculture,Agriculture,Agriculture,Poultry,425,75,2,1,buy chicken feed and medicine.,5
